path,created,処分,カテゴリ,理由,備考
20260217_PLAN_あぷかの森_EEZOドロップシップ設計.md,2026-02-17,正本,30_plans,現行取引設計,
20260217_PLAN_エゾシカ販路マトリクス_全体整理.md,2026-02-17,正本,30_plans,販路全体整理,
20260216_PLAN_ペットフード販路_クラスタリング前整理.md,2026-02-16,アーカイブ,archive,後続の分析で代替,重複登録あり
20260216_DATA_販路クラスタリング分析_あぷか提案用.md,2026-02-16,正本,40_data,データ・分析,
エゾシカ一頭まるごと部位別用途・価格ガイド: 全部位出口設計と価値最大化戦略.md,2026-02-16,正本,40_data,部位別ガイド,
20260209_DATA_エゾシカ一頭PL_部位別収支フレームワーク_v3.md,2026-02-16,正本,40_data,データ・分析,重複登録あり
20260212_SKILL_精度配分ガイドライン_リスクゾーン判定.md,2026-02-12,正本,10_rules,ルール・参照定義の正本,
20260210_PLAN_三者職務分掌_包括設計書_v4.md,2026-02-12,正本,30_plans,職務分掌最新版,重複登録あり
20260210_PLAN_セリングアイデア_蜂巣ポートフォリオ16行_v2.md,2026-02-10,アーカイブ,archive,ポートフォリオv5で代替,
20260209_DATA_エゾシカ一頭PL_部位別収支フレームワーク_v2.md,2026-02-10,アーカイブ,archive,旧版（最新版を正本化）,
20260209_PLAN_三者職務分掌_包括設計書_v3.md,2026-02-09,アーカイブ,archive,旧版（最新版を正本化）,
20260209_DATA_エゾシカ一頭PL_部位別収支フレームワーク.md,2026-02-09,アーカイブ,archive,旧版（最新版を正本化）,
20260206_DOC_EEZOエゾシカ特化方針_経緯と状況整理.md,2026-02-06,アーカイブ,archive,経緯・完了記録,
20260206_PLAN_セリングアイデア_蜂巣ポートフォリオ7選.md,2026-02-06,アーカイブ,archive,ポートフォリオv5で代替,
20260204_PLAN_セリングアイデア_4テーマリサーチ設計.md,2026-02-04,アーカイブ,archive,完了済み設計,
20260202_PLAN_国内BtoB_セリングアイデア整理.md,2026-02-04,アーカイブ,archive,v5系で代替,
20260204_SPEC_セリングアイデア試算テンプレート様式.md,2026-02-04,正本,20_specs,現行仕様書,
20260204_PLAN_セリングアイデア_6テーマ評価タスク.md,2026-02-03,アーカイブ,archive,完了済みタスク,
20260204_DOC_オーセントアメニティ_進捗まとめ.md,2026-02-03,アーカイブ,archive,進捗スナップショット,
20260130_DOC_SENDO_v0.5構造設計書.md,2026-01-30,正本,20_specs,SENDO現行構造,
20260114_DATA_EEZO投資優先順位_消費者行動メタ分析_v2.md,2026-01-28,正本,40_data,データ・分析,
20260126_DOC_dancyu分析_キュレーターEC戦略.md,2026-01-26,正本,60_research,リサーチ資産,
20260123_PLAN_EEZO商品力強化構想_社内提案書.md,2026-01-26,アーカイブ,archive,提案済み,重複登録あり
20260126_DOC_EEZOジョブ理論_学術エビデンス.md,2026-01-26,正本,60_research,リサーチ資産,
20260124_DOC_ペルソナ設計_ガイドライン.md,2026-01-24,正本,10_rules,ルール・参照定義の正本,
20260123_DOC_ClaudeCodeForWeb活用ガイド_v2.md,2026-01-23,正本,50_skills,AI活用ガイド,
20260122_PLAN_EEZO_煽らない購買促進ベストプラクティス.md,2026-01-22,正本,60_research,リサーチ資産,
20260122_PLAN_EEZO_UX設計構想.md,2026-01-22,正本,30_plans,UX設計現行,
日本人のクイズと大喜利嗜好を支える心理と文化の科学.md,2026-01-22,正本,60_research,リサーチ資産,
20260122_PLAN_EEZO同梱カード_話のネタ戦略.md,2026-01-22,正本,30_plans,現行施策,
20260122_DATA_食品EC無形価値創出_事例集.md,2026-01-22,正本,40_data,データ・分析,
20260122_DOC_与信調査閾値_検討経緯補遺.md,2026-01-22,アーカイブ,archive,経緯・完了記録,
20260121_DATA_エゾシカペットフード_市場調査レポート.md,2026-01-22,正本,40_data,データ・分析,
20260121_DATA_まいクラウドファンディング_購入型調査レポート.md,2026-01-21,正本,40_data,データ・分析,
20260121_PLAN_エゾシカペットフード_イオン販路戦略.md,2026-01-21,正本,30_plans,現役販路戦略,
20260114_DATA_EEZO投資優先順位_消費者行動メタ分析.md,2026-01-20,アーカイブ,archive,旧版（最新版を正本化）,
20260120_PLAN_認知心理学データ基盤_視線追跡構想.md,2026-01-20,正本,60_research,構想（将来参照）,
Shopify 2025-2026 New Features: Complete Guide for Hokkaido Food EC Migration.md,2026-01-20,正本,60_research,リサーチ資産,
20260117_DOC_EEZO要件定義_フィードバック.md,2026-01-20,アーカイブ,archive,反映済みFB,
20260115_DOC_案件収支管理_システム設計書_v2.md,2026-01-15,正本,20_specs,現行設計v2,
20260115_DOC_案件収支管理_システム設計書.md,2026-01-15,アーカイブ,archive,旧版（最新版を正本化）,
20260114_DOC_EEZO移行_エディMTG結果.md,2026-01-14,アーカイブ,archive,MTG記録,
20260113_DOC_価格設定ルール_事例集.md,2026-01-13,正本,10_rules,現行ルール,
20260109_DOC_輸出商談_HK_VN案件整理.md,2026-01-09,正本,40_data,商談記録,
20260109_DOC_契約書レビュー_経緯と最終対応.md,2026-01-08,アーカイブ,archive,経緯・完了記録,
20260108_DOC_与信管理制度_稟議通過版.md,2026-01-08,正本,10_rules,制度正本（稟議通過）,
20260106_DOC_常務会向け用語対訳表.md,2026-01-06,正本,10_rules,ルール・参照定義の正本,
20251227_DOC_年末総括_答えが出た11の問い_v2.md,2026-01-06,正本,00_core,蒸留済みナレッジ,
20260106_DOC_常務会資料分析_決裁事項整理.md,2026-01-05,アーカイブ,archive,会議分析記録,
20260105_DATA_フェリー会員_可処分所得リプレイス分析.md,2026-01-05,正本,40_data,データ・分析,
_ARCHIVE_20251229_MEMO_人事観察_黒田さん勤務評価報告.md,2025-12-29,アーカイブ,archive,既にARCHIVE指定,重複登録あり
20251229_PLAN_EEZO戦略_26年再構築計画.md,2025-12-29,正本,30_plans,26年戦略,
20251229_DOC_ClaudeCodeWeb検証プロジェクト成果レポート.md,2025-12-29,アーカイブ,archive,活用ガイドv2で代替,
20251229_PLAN_営業戦略_信用構築モデル.md,2025-12-29,正本,30_plans,営業戦略正本,
20251229_DOC_2025年度9ヶ月総括報告書_詳細版.md,2025-12-29,アーカイブ,archive,総括報告,
20251229_DOC_堀田氏業務委託延長_経緯と稟議.md,2025-12-29,アーカイブ,archive,経緯・完了記録,
20251224_DOC_仕入交渉_双方利益型フレームワーク.md,2025-12-25,正本,50_skills,交渉フレームワーク,
20251225_DOC_イオンCF_商談整理.md,2025-12-25,アーカイブ,archive,後続戦略に反映済み,
20251224_DOC_SENDO_基本設計v2.md,2025-12-24,アーカイブ,archive,v0.5構造設計書で代替,
20251110_DOC_Metaショップフィード_EEZO入力ガイド.md,2025-11-10,正本,10_rules,ルール・参照定義の正本,
20251106_DOC_商品登録前処理_Excel構造解説.md,2025-11-06,正本,10_rules,現行手順解説,
20251106_DOC_メタキーワード内容列_入力ガイドライン.md,2025-11-06,正本,10_rules,ルール・参照定義の正本,
20251021_DOC_採番ルール_統一体系定義書.md,2025-11-06,正本,10_rules,ルール・参照定義の正本,
20251104_PLAN_輸出EXPO_ブリーフシート.md,2025-11-04,アーカイブ,archive,2025年EXPO分,
20251030_DATA_エゾシカ価格表_4社統合.csv,2025-10-30,正本,40_data,データ・分析,
20251030_DOC_価格表項目定義_完全版ガイドライン.md,2025-10-30,正本,10_rules,ルール・参照定義の正本,
20251030_DOC_北海道地名マップ_完全生成ガイド.md,2025-10-30,正本,20_specs,生成システムガイド,
20251028_DOC_北海道地名マップ_プロジェクト完了レポート.md,2025-10-28,アーカイブ,archive,経緯・完了記録,
20251028_DOC_北海道地名マップ_座標修正完了と次ステップ.md,2025-10-28,アーカイブ,archive,完了記録,
generate_hokkaido_maps.py,2025-10-28,正本,code,スクリプト正本,
20251028_DOC_北海道地名マップ_生成システム開発記録.md,2025-10-28,アーカイブ,archive,開発記録,
20251028_日本酒輸出_12品目.csv,2025-10-28,正本,40_data,データ・分析,
[20251028]_DATA_日本酒輸出_展示会商品データベース.md,2025-10-28,正本,40_data,データ・分析,
20251020_SKILL_カレンダータスク管理_更新フロー.md,2025-10-20,正本,50_skills,業務スキル,
20251017_PLAN_ヤマトヤシキクレーム_原因分析ヒアリング設計.md,2025-10-17,アーカイブ,archive,対応完了案件,
20251015_PLAN_商品カタログ_自動生成システム仕様書.md,2025-10-15,アーカイブ,archive,20260531テンプレート仕様で代替,
20251006_PLAN_手紙営業_料理長アプローチ戦略.md,2025-10-09,正本,30_plans,営業手法（再利用可）,重複登録あり
20251008_DOC_Instagram連携_ファクトチェック結果.md,2025-10-07,アーカイブ,archive,検証記録,
20251007_DOC_証憑管理v3_完全版_説明書.md,2025-10-07,正本,20_specs,証憑管理現行版,
20251007_DOC_証憑管理v3_要件定義書.md,2025-10-07,正本,20_specs,証憑管理現行版,
20251007_DOC_証憑管理v2_改善点まとめ.md,2025-10-07,アーカイブ,archive,v3で代替,
20251007_DOC_証憑管理システム_要件定義書.md,2025-10-07,アーカイブ,archive,v3で代替,
20251006_PLAN_証憑フロー_理想と現実の要件.md,2025-10-06,アーカイブ,archive,v3で代替,
20250927_DATA_Note発信_文体分析_改訂版.md,2025-10-05,正本,40_data,データ・分析,
20251001_DOC_大七分析_ターゲット検索条件.md,2025-10-01,アーカイブ,archive,単発分析,
20250926_DOC_SENDO_派遣スタッフ実務マニュアル.md,2025-09-30,正本,10_rules,現行マニュアル,
20250926_DOC_SENDO_管理部運用マニュアル.md,2025-09-30,正本,10_rules,現行マニュアル,
20250926_PLAN_SENDO企画_受発注統合アップデート.md,2025-09-30,アーカイブ,archive,後続仕様で代替,
20250929_PLAN_ホテル営業_ターゲット検索条件.md,2025-09-29,正本,30_plans,営業ターゲット定義,
20250925_DOC_技術戦略_CSカート検討会議.md,2025-09-26,アーカイブ,archive,Shopify移行で決着,
20250924_DOC_蜂巣さん打合せメモ_EEZOとエゾシカ,2025-09-25,アーカイブ,archive,打合せメモ,
20250925_DOC_仲買人AIについての検討メモ,2025-09-25,アーカイブ,archive,検討メモ,
20250923_DOC_Note発信_管理システム構築.md,2025-09-23,アーカイブ,archive,構築記録,
20250922_DOC_食材調査フォーマット_プロジェクト完成レポート.md,2025-09-22,アーカイブ,archive,経緯・完了記録,
20250919_PLAN_EEZO商品構成改善_toBtoC分離戦略.md,2025-09-20,アーカイブ,archive,BC棲み分けで代替,
20250919_PLAN_シュトーレン類似商品_高単価両市場対応商品リスト.md,2025-09-19,アーカイブ,archive,旧商品リスト,
20250918_DATA_料理長インタビュー_KJ法カード化.md,2025-09-18,正本,40_data,データ・分析,
20250916_DOC_EEZO投稿翻訳ガイド_完全版.md,2025-09-16,正本,10_rules,ルール・参照定義の正本,
20250912_DOC_SENDO_システム概要.md,2025-09-12,アーカイブ,archive,v0.5で代替,
20250911_PLAN_事務自動化_ゼロ労力受発注システム.md,2025-09-12,アーカイブ,archive,SENDOで実現済み,
20250911_DOC_営業戦略_Sansan名刺登録ガイドライン.md,2025-09-11,正本,10_rules,ルール・参照定義の正本,
20250911_PLAN_BtoC戦略_高単価商品試算.md,2025-09-11,アーカイブ,archive,旧試算,
20250909_DATA_海外展開_CPA試算分析.md,2025-09-09,正本,40_data,データ・分析,
20250909_DATA_ICCJ提案_詳細分析.md,2025-09-09,正本,40_data,データ・分析,
20250908_PLAN_EU日本酒戦略_対象国精査レポート.md,2025-09-08,正本,60_research,輸出リサーチ,
20250908_DOC_セリングアイデア_フレームワーク定義書.md,2025-09-08,正本,10_rules,SIフレームワーク正本,
ミナト内部参照：仮説構築・検証ガイドライン.md,2025-06-13,正本,00_core,基本文書・人格・ルール,
ミナト（プロジェクトアシスタント）Atlassian運用ルール.md,2025-06-12,正本,00_core,基本文書・人格・ルール,
ユーザー文体ガイド - ミナト用参照資料.md,2025-05-29,正本,00_core,基本文書・人格・ルール,
パイプライン管理システム構想書.md,2025-05-28,アーカイブ,archive,計数管理基盤で代替,
25-05-27_snj_concept.pdf,2025-05-27,正本,00_core,基本文書・人格・ルール,
ユーザーが求められている役割について.md,2025-05-09,正本,00_core,基本文書・人格・ルール,
VMV,2025-05-08,正本,00_core,基本文書・人格・ルール,
中長期の行動目標,2025-05-08,正本,00_core,基本文書・人格・ルール,
ユーザーが求められている役割について,2025-02-15,正本,00_core,基本文書・人格・ルール,
