商品コード,カテゴリ,商品名,規格,容量,単位,2026/4/23以降 販売税抜単価,メス指定加算,年齢指定加算,サイズ指定,供給区分,温度帯,備考
PRD_SNJ_MKB_0013_00,骨付き,馬木葉のエゾシカ肉 骨付きカタ肉,ブロック（カタバラスペアリブ・ネック・肩ロース付き規格）,約4.0〜7kg,kg,650,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻出荷／馬木葉から飲食店直販商品
PRD_SNJ_MKB_0014_00,骨付き,馬木葉のエゾシカ肉 骨付きロース（サドル/ヒレ付き）,ブロック,約7〜14kg,kg,2775,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻出荷／馬木葉から飲食店直販商品
PRD_SNJ_MKB_0015_00,骨付き,馬木葉のエゾシカ肉 骨付きロース（ヒレ付き）,ブロック,約4〜6.5kg,kg,3225,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻出荷／馬木葉から飲食店直販商品
PRD_SNJ_MKB_0016_00,骨付き,馬木葉のエゾシカ肉 骨付きロース（ヒレなし）,ブロック,約3.8〜6.2kg,kg,3300,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻出荷／馬木葉から飲食店直販商品
PRD_SNJ_MKB_0017_00,骨付き,馬木葉のエゾシカ肉 骨付きバラ肉,ブロック,約1〜4kg,kg,400,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻出荷／馬木葉から飲食店直販商品
PRD_SNJ_MKB_0018_00,骨付き,馬木葉のエゾシカ肉 骨付きモモ肉（スネ付き）,ブロック,約6.5〜9kg,kg,1750,+300円/kg,+300円/kg,不可,受注発注商品,冷蔵（チルド）,ミートパオ巻出荷／馬木葉から飲食店直販商品
PRD_SNJ_MKB_0019_50,骨付き,馬木葉のエゾシカ肉 骨付きスネ肉,ブロック,約0.5〜1.5kg,kg,600,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／シート巻き（真空包装ではありません）
PRD_SNJ_MKB_0020_50,骨付き,馬木葉のエゾシカ肉 骨付きスネ肉,カット,約0.4〜1.4kg,kg,1150,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／5cm以上カットで厚さ指定可・重量指定不可
PRD_SNJ_MKB_0021_50,精肉,馬木葉のエゾシカ肉 挽肉,4.8mm2度挽き/1kgパック,1kg,kg,925,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,モモ・カタ・バラ使用／赤身率85%程度
PRD_SNJ_MKB_0022_50,骨,馬木葉のエゾシカ肉 背骨,1.0kg以上で必要数量指定,1.0kg〜,kg,350,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,カットには別途料金
PRD_SNJ_MKB_0023_50,骨,馬木葉のエゾシカ肉 骨（ゲンコツ）,1.0kg以上で必要数量指定,1.0kg〜,kg,350,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,カットには別途料金
PRD_SNJ_MKB_0024_50,骨,馬木葉のエゾシカ肉 骨（コミガラ）,1.0kg以上で必要数量指定,1.0kg〜,kg,300,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,カットには別途料金／様々な部位の骨が入る
PRD_SNJ_MKB_0101_50,加工品,馬木葉のエゾシカ肉使用 生ソーセージ（業務用）,約60g×4本入り,240g/pk,pk,600,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要加熱の商品
PRD_SNJ_MKB_0102_50,加工品,馬木葉のエゾシカ肉使用 生ソーセージ（フランクタイプ/フェンネル入り/業務用）,約80g×3本入り,240g/pk,pk,600,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要加熱の商品
PRD_SNJ_MKB_0103_50,加工品,馬木葉のエゾシカ肉使用 スモークソーセージ（業務用）,約25g×6本入り,150g/pk,pk,450,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,冷凍加熱食肉製品（加熱後包装）
PRD_SNJ_MKB_0104_50,加工品,馬木葉のエゾシカ肉使用 ノンスモークソーセージ（フェンネル入り/業務用）,約25g×6本入り,150g/pk,pk,450,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,冷凍加熱食肉製品（加熱後包装）
PRD_SNJ_MKB_0105_50,加工品,馬木葉のエゾシカ肉使用 スモークフランク（業務用）,約60g×4本入り,240g/pk,pk,650,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,冷凍加熱食肉製品（加熱後包装）
PRD_SNJ_MKB_0106_50,加工品,馬木葉のエゾシカ肉使用 ヤークトヴルスト（業務用）スライス,直径約8〜10cm（目安8〜14枚）,150g/pk,pk,475,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,冷凍加熱食肉製品（加熱後包装）
PRD_SNJ_MKB_0107_50,加工品,馬木葉のエゾシカ肉使用 ビアシンケン（業務用）スライス,直径約8〜10cm（目安8〜14枚）,150g/pk,pk,475,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,冷凍加熱食肉製品（加熱後包装）
PRD_SNJ_MKB_0201_50,副産物,馬木葉のエゾシカ肉 アキレス,ブロック,-,-,終売,-,-,-,通常規格品（在庫品）,冷凍（フローズン）,終売
PRD_SNJ_MKB_0202_50,副産物,馬木葉のエゾシカ肉 タン,ブロック,約0.06〜0.3kg,本,450,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,要在庫確認／納期要
PRD_SNJ_MKB_0203_50,副産物,馬木葉のエゾシカ肉 ハツ,ブロック,約0.08〜1.2kg,個,終売,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,終売／要在庫確認・納期要
PRD_SNJ_MKB_0204_50,副産物,馬木葉のエゾシカ肉 レバー,ブロック,約0.3〜2.5kg,個,終売,不可,不可,不可,通常規格品（在庫品）,冷凍（フローズン）,終売／要在庫確認・納期要
PRD_SNJ_MKB_9001_00,加工賃,骨のカット加工,1/4カット・ゲンコツ大カット等,-,kg,300,-,-,-,受注加工,-,目安単価。その他加工は要問合せ
