商品コード,商品名,規格,容量,単位,単価（税抜）,最小注文量,温度帯
PRD_SNJ_SBR_0004_00,エゾシカ 真玉,ブロック,約0.7-1.3kg/個,kg,"3,500円/kg",1個から,冷凍
PRD_SNJ_SBR_0005_00,エゾシカ 外モモ,ブロック,約1.2-1.8kg/個,kg,"3,800円/kg",1個から,冷凍
PRD_SNJ_SBR_0006_00,エゾシカ しきん棒,ブロック,約0.4-0.8kg/個,kg,"3,800円/kg",1個から,冷凍
PRD_SNJ_SBR_0007_00,エゾシカ スネ,ブロックまとめて,約1.2-1.5kg/個,kg,"1,600円/kg",1個から,冷凍
PRD_SNJ_SBR_0008_00,エゾシカ カタ,骨をはずしたもの,約1.2-1.8kg/個,kg,"2,600円/kg",1個から,冷凍
PRD_SNJ_SBR_0009_00,エゾシカ バラ,ブロック,約1.5-2.5kg/枚,kg,"2,400円/kg",1枚から,冷凍
PRD_SNJ_SBR_0010_00,エゾシカ 心臓,熟成なし,約600-900g/個,kg,"2,200円/kg",1個から,冷凍
PRD_SNJ_SBR_0011_00,エゾシカ タン,熟成なし・受注後お取り置き,量売,kg,"2,900円/kg",受注生産,冷凍
PRD_SNJ_SBR_0012_00,エゾシカ ミンチ,1kg定貫,1kg/袋,kg,"1,880円/kg",1袋から,冷凍
PRD_SNJ_SBR_0101_00,エゾシカ トモ足1本売り,骨付き,約5-8kg/本,kg,"2,750円/kg",1本から,冷蔵
PRD_SNJ_SBR_0102_00,エゾシカ 背割半身,背割半身,約20kg/セット,kg,"2,000円/kg",1セットから,冷蔵
PRD_SNJ_SBR_0103_00,エゾシカ 一頭売り,一頭,約40kg/頭,kg,"1,800円/kg",1頭から,冷蔵
PRD_SNJ_HEF_0001_00,えぞ鹿ロース肉,ブロック,量売/本,kg,"3,000円/kg",1本から,冷凍
PRD_SNJ_HEF_0002_00,えぞ鹿もも肉ブロック,外もも・内もも・芯玉含む,量売/個,kg,"1,800円/kg",1個から,冷凍
PRD_SNJ_HEF_0003_00,えぞ鹿ヒレ肉,ブロック,量売/本,kg,"4,800円/kg",1本から,冷凍
PRD_SNJ_HEF_0004_00,えぞ鹿ひき肉,ミンチ,1kg/袋,kg,"1,500円/kg",1袋から,冷凍
PRD_SNJ_HEF_0101_00,えぞ鹿肉ソーセージ,無添加粗挽き・1ケース36袋入,80g×5本/袋,袋,"1,750円/袋",1袋から（36袋/箱）,冷凍
